TimeStamp,ABB_X_Pos,ABB_Y_Pos,ABB_Z_Pos,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow_Rate,PF1_Pressure,PF1_Gas_Flow_Rate,PF2_Pressure,PF2_Gas_Flow_Rate
20250306T01:10:43.007,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:44.020,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:45.011,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:46.024,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:47.014,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:48.010,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:49.028,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:50.002,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:51.024,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:52.022,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:53.021,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:54.003,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:55.020,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:56.027,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:57.018,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:58.024,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:59.007,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:00.017,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:01.023,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:02.006,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:03.020,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:04.003,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:05.010,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:06.005,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:07.012,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:08.013,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:09.005,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:10.007,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:11.021,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:12.032,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:13.018,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:14.023,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:15.042,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:16.029,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:17.029,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:18.036,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:19.033,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:20.030,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:21.019,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:22.042,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:23.048,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:24.040,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:25.054,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:26.036,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:27.032,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:28.045,0,0,0,26,0.0,0,0.002,0.0,0.002,0.0
20250306T01:11:29.023,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:30.025,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:31.019,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:32.020,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:33.021,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:34.042,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:35.056,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:36.031,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:37.022,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:38.025,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:39.020,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:40.037,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:41.034,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
