TimeStamp,Tag Name,ABB_X,ABB_Y,ABB_Z,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow,PF1_Gas_Flow,PF2_Gas_Flow,PF1_LibraWeight,PF2_LibraWeight,PF1_Pressure,PF2_Pressure
20241204T3:03:14.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0
20241204T3:03:15.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:03:16.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:03:17.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:03:18.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0,0.002
20241204T3:03:19.000,calc:Coldspray_data_,0,0,0,25,0.006,0,0,0,62.26,62.7,0.002,0.002
20241204T3:03:20.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:03:21.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:03:22.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0,0.002
20241204T3:03:23.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:03:24.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0,0.002
20241204T3:03:25.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0,0.002
20241204T3:03:26.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:03:27.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0,0.002
20241204T3:03:28.000,calc:Coldspray_data_,0,0,0,25,0.006,0,0,0,62.26,62.7,0,0.002
20241204T3:03:29.000,calc:Coldspray_data_,0,0,0,25,0.006,0,0,0,62.26,62.7,0.002,0.002
20241204T3:03:30.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:03:31.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0,0.002
20241204T3:03:32.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:03:33.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0,0.002
20241204T3:03:34.000,calc:Coldspray_data_,0,0,0,25,0.006,0,0,0,62.26,62.7,0.002,0
20241204T3:03:35.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:03:36.000,calc:Coldspray_data_,0,0,0,25,0.006,0,0,0,62.26,62.7,0.002,0.002
20241204T3:03:37.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:03:38.000,calc:Coldspray_data_,0,0,0,25,0.006,0,0,0,62.26,62.7,0.002,0.002
20241204T3:03:39.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0,0.002
20241204T3:03:40.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:03:41.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0,0.002
